Data;Estació;Conca;UTM X;UTM Y;Variable;Mitjana;Unitat Mesura
2007/01/22;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.297;m³/s
2007/01/22;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.520357639;m
2007/01/23;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/23;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/01/23;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.104;m³/s
2007/01/23;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.513555556;m
2007/01/24;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/24;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/01/24;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.157;m³/s
2007/01/24;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.520027778;m
2007/01/25;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.25;m
2007/01/25;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/01/25;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.191;m³/s
2007/01/25;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Nivell riu Ter;0.522795139;m
2007/01/26;Aforament - Cornellà del Terri;EL TER;483379;4660993;EA061_Cornella Terri_Nivell riu Terri;0.245;m
2007/01/26;Aforament - Sant Gregori;EL TER;477269;4651536;EA009_Sant Gregori_Cabal riu Llemena;0.05;m³/s
2007/01/26;Aforament - la Cellera de Ter (Pasteral I);EL TER;467132;4648235;EA060_Cellera Ter_Pasteral_Cabal riu Ter;3.134;m³/s
