Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;% Saturació d'oxigen (camp);-;59.5;%
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Amoni;-;6.57;mg NH4/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Bicarbonats;-;422.7;mg HCO3/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Calci;-;120.1;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Clorurs;-;215;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat (camp);-;1410;µS/cm
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Conductivitat a 20ºC;-;1356;µS/cm
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Duresa total;-;460.9;mg CaCO3/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Error relatiu balanç iònic;-;0.98;%
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Fosfats;-;1.68584472;mg PO4/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Magnesi;-;39.1;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrats;-;6.4;mg NO3/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Nitrits;-;0.34;mg NO2/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Oxigen dissolt (camp);-;6.3;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Potassi;-;24.07;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Sodi;-;124.4;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Sulfats;-;133;mg/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Suma d'anions;-;15.9112;meq/L
2007/04/16;100094000;1000940;Riera de Torrelles;415060;4578865;Suma de cations;-;15.601;meq/L
