Data;Codi Estació;Codi massa d'aigua;Massa d'aigua;UTM X;UTM Y;Variable;Profunditat mostra (m);Valor;Unitat Mesura
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoni;-;0.26;mg NH4/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Amoníac no ionitzat;-;<0.025;mg NH3/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Bicarbonats;-;220.8;mg HCO3/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Calci;-;81.5;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clor residual total;-;0.005;mg HClO/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Clorurs;-;50.2;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat (camp);-;729;µS/cm
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Conductivitat a 20ºC;-;613;µS/cm
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Duresa total;-;252.1;mg CaCO3/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Error relatiu balanç iònic;-;1.19;%
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Fosfats;-;0.8027832;mg PO4/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Magnesi;-;11.8;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrats;-;11.5;mg NO3/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Nitrits;-;0.36;mg NO2/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Oxigen dissolt (camp);-;11.1;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Potassi;-;6.86;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sodi;-;36.37;mg/L
2007/04/11;200046000;2000460;El Ter des de Flaçà fins al mar;512618;4652593;Sulfats;-;83;mg/L
